"IC.FinalFactor" "IC.alpha" "tau0" "eta.s" "VisBeta"
42.0973143431448 0.120151761077978 0.252743467116833 0.0019790599281629 1.10002409822309
69.9992588224623 0.15966793258266 0.7406651442952 0.260141848074803 0.223975480971034
43.3901053602017 0.101712096529466 0.927633899756857 0.290323337035168 0.385644488912429
44.7565951285832 0.150476687361897 0.949002299970783 1.3259052226084e-07 0.325305958645566
69.560219014514 0.101963660253766 0.829998431130725 0.0548736266766753 0.866099581568814
42.5745827946136 0.159457939092828 0.257245205088782 0.285291570787312 0.814980877825594
58.8340373736983 0.114940245721328 0.212332437903116 0.062835430193328 0.338756165387353
58.0513543356995 0.13669767282186 0.941722037332086 0.255284430750617 1.06947981750441
47.8858096568424 0.105790829553156 0.203077104350888 0.275721755570729 1.04084874579341
69.4321428094194 0.151702658375788 0.509655019119366 0.0907995593323268 0.88910485341435
42.9490936839832 0.113869814501943 0.970592512462721 0.00676636682967071 0.922073665525148
69.5747223368317 0.103236013872437 0.981051874445549 0.222759435537412 0.258982221543207
43.5889755382863 0.154962978960134 0.864391078468062 0.269453161493064 0.483979708239439
51.9958346171502 0.135026672955556 0.251427551341031 0.287703363292746 0.221920090510733
44.3178482022407 0.10476913767317 0.863243569386772 0.00882199315023063 0.200000324327509
52.9687490571266 0.159254939133724 0.289560766650181 0.051856284095991 0.285357594263653
67.0217170210404 0.111875259777432 0.388908144977551 0.244481082982599 0.830866135494533
47.1586797745276 0.100155557849997 0.881992218830723 0.29408401856953 1.09326993553799
57.3906539827259 0.125630581371362 0.771588254170052 0.126282986026349 0.43613191658966
40.0000044783275 0.140529136684663 0.678789238107218 0.13204443660222 0.934696570881513
67.5154839677749 0.156126284182599 0.263712212557015 0.22887199397966 0.526430703893938
59.0748103793079 0.120527093657325 0.240370290633373 0.0981607456618112 1.04384904688164
48.6097782752663 0.121120329136547 0.507087295089848 0.295108006857783 0.652526609480173
40.8856158833041 0.100962352688253 0.402159786397445 0.111146441735692 0.787147457694769
68.7290273945725 0.14295662892833 0.37909937027608 0.0149181411658181 0.290751351782466
69.7951261599438 0.137276705528136 0.895311714897118 0.217459563063443 0.597342552626836
40.2415998897511 0.132460131399519 0.554845415197633 0.00596161083332125 0.303431735722863
54.9818562967103 0.108492097544355 0.559346579365191 0.0103545352812825 0.846381759976039
62.1831437035772 0.111682676961757 0.428922581730355 0.234251154226188 0.268618033598468
49.893445560283 0.153202786124849 0.271207134375736 0.127763238295182 0.861870574399669
41.9099971446886 0.128500984688747 0.302595213919532 0.158230897746013 0.38229443155087
48.8126936435852 0.159998728015331 0.652414690010451 0.0228789312215865 0.80591487153669
42.3743399868794 0.152681266077638 0.983484041522745 0.232552627143386 1.08341803334435
68.1344654439456 0.105069315109937 0.832358872217952 0.221884471083968 0.97297534830585
67.1048349809707 0.140996931537193 0.336371211410881 0.272346554184217 1.07767841671299
60.9433214783384 0.142458743554945 0.943938985475458 0.0366027294386889 0.688706289900476
67.9797784752037 0.114413521843686 0.522419489781059 0.0047497967554956 0.483745780970114
54.1682944053198 0.12767406274056 0.958306401202351 0.279704928770538 0.61813018663851
40.3664229181461 0.108918808478667 0.504998047302414 0.252830731653851 0.243247016249732
64.8963799796803 0.129087915436941 0.762096149283058 0.279112131168215 0.209694930810532
43.1183737279007 0.12533270012835 0.975379454508088 0.129954579595083 0.440304226797276
43.7852420579886 0.125073064161851 0.206043473495816 0.0163124473773807 0.575451651809676
46.5497033866105 0.155087241891604 0.643361901920046 0.118733117804514 0.428083560884311
51.7575636730764 0.119327460838584 0.696061446025756 0.185903406536463 0.962568840356655
58.2161774367942 0.128974908165636 0.994484186992194 0.108028863189179 1.03026925287465
